oxygen,pressure,temperature,vibration,solar_intensity
21.01,101.25,22.09,0.0209,153.33
21.01,101.28,22.03,0.0196,152.97
21.02,101.29,22.07,0.0193,152.2
21.01,101.33,22.08,0.0182,150.47
20.98,101.34,22.09,0.0212,150.42
21.0,101.32,21.98,0.0217,149.28
20.99,101.28,21.92,0.0178,148.0
21.0,101.34,22.01,0.0191,146.98
21.01,101.33,21.99,0.0198,145.48
21.02,101.29,21.93,0.0208,144.63
21.0,101.3,22.06,0.0179,142.92
20.99,101.26,21.93,0.0214,142.13
21.0,101.3,21.95,0.0195,141.31
21.02,101.3,22.03,0.0196,139.66
21.02,101.35,22.05,0.022,138.5
20.99,101.3,21.91,0.0203,137.19
21.02,101.32,21.95,0.021,135.97
21.01,101.29,22.07,0.0223,134.75
21.0,101.27,21.97,0.0174,133.79
21.0,101.31,21.91,0.0209,132.71
21.01,101.26,22.0,0.0211,131.45
20.99,101.33,22.0,0.0215,129.62
21.0,101.35,21.93,0.0228,128.59
20.99,101.31,22.08,0.0195,126.97
20.98,101.29,21.98,0.0182,126.19
21.0,101.26,22.03,0.0171,124.62
20.99,101.33,22.02,0.0175,123.89
20.99,101.3,21.93,0.0192,122.74
21.02,101.31,22.09,0.0196,122.07
20.99,101.32,22.09,0.0192,120.61
21.0,101.32,21.9,0.0199,119.31
21.0,101.27,21.97,0.0218,118.54
20.99,101.34,21.93,0.0223,117.81
21.01,101.27,21.97,0.0194,116.98
20.99,101.29,22.05,0.0196,116.31
21.0,101.31,22.06,0.021,115.77
20.99,101.29,21.98,0.0211,114.46
21.0,101.27,22.01,0.02,113.86
20.98,101.3,22.08,0.02,113.28
20.99,101.25,22.03,0.0196,112.54
20.99,101.34,21.92,0.0202,112.02
21.0,101.34,21.93,0.0207,111.94
21.0,101.3,21.95,0.0194,111.27
20.98,101.26,21.99,0.02,111.15
21.01,101.33,21.92,0.0196,110.22
21.01,101.29,21.98,0.0226,110.44
20.99,101.33,22.03,0.0199,110.51
20.99,101.34,22.01,0.0189,110.4
21.0,101.25,22.09,0.0174,110.14
21.0,101.26,21.95,0.0226,109.74
20.99,101.33,22.0,0.0219,109.86
21.01,101.27,22.08,0.0223,109.93
20.99,101.31,22.03,0.0206,110.57
20.98,101.34,21.91,0.0184,110.97
21.02,101.28,21.96,0.0221,111.02
21.0,101.29,21.93,0.0183,111.14
20.99,101.27,22.02,0.0211,111.55
21.01,101.34,22.06,0.0206,112.43
20.99,101.25,22.06,0.0193,113.04
20.98,101.27,21.99,0.0203,113.09
20.99,101.27,21.96,0.0174,114.47
21.01,101.33,21.98,0.0191,114.85
21.0,101.33,22.06,0.0175,116.01
21.0,101.28,22.03,0.0218,116.37
21.0,101.31,21.99,0.0195,117.22
21.02,101.28,22.06,0.0202,118.43
21.01,101.26,22.01,0.0215,118.88
20.98,101.3,21.95,0.0184,119.86
21.02,101.32,21.98,0.0198,120.99
20.99,101.31,22.03,0.0196,122.11
21.0,101.26,22.03,0.0211,123.61
21.01,101.34,22.09,0.0203,124.82
21.02,101.3,21.93,0.0197,125.91
20.98,101.3,22.06,0.0227,126.8
20.99,101.32,21.9,0.017,128.43
21.01,101.32,21.91,0.0194,128.99
21.01,101.26,22.03,0.0174,130.87
20.98,101.3,22.0,0.0202,131.39
21.02,101.32,22.01,0.0208,132.57
21.0,101.32,22.08,0.0228,133.91
21.0,101.28,22.0,0.0207,135.42
20.99,101.33,21.95,0.021,136.32
21.0,101.29,21.94,0.0193,138.39
20.98,101.29,22.04,0.0177,139.23
20.99,101.26,22.02,0.0202,139.91
21.0,101.31,22.09,0.0214,141.5
20.98,101.32,21.99,0.0173,142.77
20.99,101.33,22.05,0.0182,143.96
20.99,101.3,22.0,0.0209,145.6
20.99,101.27,21.95,0.019,146.51
21.02,101.33,21.92,0.0201,147.76
21.01,101.27,21.94,0.0194,147.98
21.01,101.27,22.07,0.0205,149.64
21.01,101.28,22.09,0.0215,150.86
21.01,101.33,21.98,0.0223,151.7
20.99,101.3,22.08,0.0197,152.55
21.01,101.31,22.04,0.018,153.2
21.0,101.26,22.0,0.0179,154.32
20.99,101.29,21.99,0.0203,154.49
21.01,101.29,21.93,0.022,155.87
21.0,101.25,22.01,0.0196,156.05
20.98,101.31,21.99,0.0172,156.83
21.01,101.27,21.96,0.02,157.07
21.0,101.29,21.92,0.0193,158.22
21.0,101.34,21.94,0.0198,158.87
21.01,101.26,21.91,0.0204,158.96
21.0,101.35,22.01,0.0198,159.05
20.99,101.31,22.03,0.0202,159.82
20.99,101.27,22.08,0.0212,159.74
20.99,101.3,22.01,0.021,159.69
21.02,101.29,22.07,0.021,159.71
21.01,101.32,22.08,0.0188,160.04
21.0,101.3,22.05,0.0203,160.33
21.0,101.27,22.07,0.0196,159.9
20.99,101.25,22.02,0.0218,159.27
20.99,101.33,22.01,0.0187,160.01
21.01,101.26,22.03,0.0223,158.99
21.0,101.33,22.08,0.0174,158.95
20.99,101.33,22.05,0.0219,158.88
20.99,101.3,21.99,0.0202,158.34
20.99,101.27,21.95,0.02,158.03
21.0,101.3,21.91,0.0203,156.5
20.99,101.29,22.05,0.0222,156.34
21.01,101.26,21.96,0.0173,156.12
21.0,101.27,22.01,0.0192,154.98
21.01,101.32,21.99,0.0204,153.97
20.99,101.31,22.05,0.0211,153.76
21.01,101.25,22.06,0.02,152.53
21.0,101.26,22.05,0.0203,151.74
21.01,101.34,22.0,0.0175,150.84
20.99,101.31,21.94,0.017,149.96
21.02,101.26,22.0,0.0213,149.0
21.0,101.26,22.06,0.0185,147.37
21.0,101.28,21.92,0.0202,146.88
20.98,101.29,21.94,0.0177,144.85
20.99,101.34,22.01,0.0188,144.19
21.0,101.29,21.98,0.0205,142.87
20.98,101.31,22.04,0.0175,142.02
20.99,101.27,21.96,0.0182,140.5
21.02,101.28,22.07,0.0208,139.41
20.99,101.28,21.93,0.018,137.84
20.99,101.34,22.01,0.0211,137.07
21.01,101.34,21.96,0.0185,135.47
21.02,101.27,22.03,0.0201,134.59
21.0,101.33,21.94,0.0228,133.12
20.98,101.32,22.04,0.0173,132.22
21.01,101.32,22.03,0.0226,131.03
21.0,101.27,22.08,0.02,129.18
20.98,101.27,22.01,0.0203,128.46
21.0,101.26,22.03,0.0172,127.02
21.02,101.3,22.03,0.0201,126.07
20.99,101.31,21.9,0.0229,124.3
20.99,101.32,22.09,0.0172,123.75
21.02,101.29,21.95,0.0202,122.74
21.02,101.33,22.07,0.0212,120.97
21.0,101.33,21.98,0.0209,120.74
20.99,101.33,21.94,0.0214,119.66
20.99,101.3,21.98,0.0174,118.32
21.01,101.32,21.9,0.017,117.23
21.01,101.28,21.99,0.0211,117.0
21.0,101.26,21.91,0.0173,115.89
21.0,101.29,22.02,0.0186,115.42
21.0,101.31,22.03,0.0217,114.66
21.0,101.29,21.91,0.0183,113.8
21.02,101.29,22.04,0.0201,112.68
20.99,101.33,22.06,0.0221,112.48
20.99,101.29,22.07,0.0219,112.26
20.99,101.25,22.01,0.0228,111.3
20.99,101.34,21.99,0.0191,111.38
21.02,101.32,21.99,0.0217,110.8
20.98,101.3,22.0,0.0198,110.39
21.0,101.26,21.92,0.0171,110.26
21.01,101.3,21.96,0.0191,110.11
21.0,101.29,22.07,0.0221,109.59
21.01,101.3,22.09,0.0174,110.38
21.0,101.27,22.08,0.0224,109.55
21.0,101.26,22.07,0.0193,110.56
20.99,101.35,21.97,0.0195,109.98
20.99,101.31,21.99,0.0192,110.29
21.0,101.26,22.07,0.0183,110.37
21.01,101.3,22.07,0.0198,110.94
21.01,101.29,21.97,0.0204,111.95
20.99,101.26,21.97,0.0204,111.56
21.02,101.3,21.96,0.0188,112.51
21.0,101.3,21.95,0.0226,113.49
21.01,101.31,21.95,0.0172,113.75
20.99,101.31,22.05,0.0207,114.59
20.99,101.31,22.06,0.022,114.77
21.01,101.35,22.09,0.0229,115.49
20.98,101.28,21.96,0.0175,116.74
20.99,101.3,22.03,0.0174,118.01
21.0,101.32,21.94,0.0197,118.6
21.02,101.31,21.99,0.0215,119.38
20.99,101.29,21.98,0.022,120.82
20.99,101.32,21.98,0.0228,121.71
20.98,101.31,21.98,0.0193,122.48
21.0,101.35,22.04,0.0173,123.62
21.0,101.27,21.95,0.02,124.44
21.0,101.26,21.96,0.0179,125.96
21.0,101.28,21.9,0.0185,127.63
21.01,101.28,22.09,0.0199,128.17
20.98,101.35,22.04,0.018,129.6
20.99,101.29,22.1,0.0171,131.33
21.01,101.3,21.97,0.0217,131.74
20.98,101.26,21.91,0.0209,133.04
20.99,101.28,22.04,0.0188,134.7
20.99,101.32,21.92,0.0204,135.94
21.01,101.26,22.08,0.0186,137.39
20.99,101.28,22.03,0.0213,137.9
20.99,101.35,21.95,0.0182,139.71
21.02,101.31,21.91,0.0229,140.67
20.99,101.26,22.0,0.022,142.09
21.01,101.34,21.97,0.0225,142.86
20.99,101.32,21.96,0.0208,144.07
21.01,101.3,22.01,0.0179,145.97
21.01,101.31,21.97,0.0183,146.72
20.99,101.35,21.97,0.0202,148.06
20.99,101.31,21.92,0.0194,149.17
20.98,101.28,21.92,0.0224,149.96
21.02,101.27,21.91,0.0208,150.79
21.02,101.26,21.97,0.0205,151.54
20.99,101.26,22.0,0.02,152.39
20.98,101.32,22.1,0.0228,153.63
21.01,101.31,21.99,0.0176,154.56
21.0,101.27,21.94,0.0206,155.21
20.99,101.32,21.97,0.0195,155.64
21.01,101.32,21.92,0.0209,156.9
20.98,101.35,21.98,0.0177,157.49
20.98,101.33,22.06,0.0218,157.25
21.0,101.34,21.93,0.0214,157.77
21.0,101.29,22.0,0.0202,158.62
20.98,101.26,22.08,0.0223,158.96
21.0,101.32,22.05,0.0179,158.93
21.01,101.25,21.96,0.0209,159.57
20.98,101.3,22.09,0.0171,159.73
21.0,101.32,22.09,0.019,159.77
21.02,101.33,22.04,0.0203,159.77
21.0,101.25,21.95,0.0209,159.92
20.99,101.32,22.01,0.0195,160.14
21.01,101.29,21.96,0.0197,159.85
20.99,101.32,21.91,0.0228,160.05
21.02,101.26,22.03,0.0225,159.34
20.99,101.3,21.97,0.0221,159.64
21.01,101.35,21.92,0.0229,158.9
